,depth,naw_temp,naw_sal,naw_den,saw_temp,saw_sal,saw_den
149,298,17.526901796957482,36.65244262422502,1026.5137707502438,15.019429054331408,35.72972852262803,1026.3988628501124
150,300,17.50086869952481,36.64849076463845,1026.5172111447046,14.953418542279053,35.72403486115965,1026.409341265965
151,302,17.474867761835984,36.64416153552758,1026.5202785759657,14.813206203734573,35.70433824956024,1026.4240304552563
152,304,17.448866824147164,36.63983230641671,1026.523346007227,14.672993865190096,35.68464163796082,1026.4387196445475
153,306,17.42286588645834,36.63550307730583,1026.5264134384881,14.532781526645616,35.66494502636141,1026.453408833839
154,308,17.396864948769515,36.631173848194955,1026.5294808697495,14.392569188101138,35.645248414761994,1026.46809802313
155,310,17.37086401108069,36.62684461908408,1026.5325483010106,14.252356849556659,35.62555180316258,1026.4827872124215
156,312,17.34486307339187,36.62251538997321,1026.5356157322717,14.11214451101218,35.605855191563165,1026.497476401713
157,314,17.318862135703046,36.61818616086234,1026.538683163533,13.971932172467701,35.58615857996375,1026.512165591004
158,316,17.292861198014222,36.61385693175146,1026.5417505947942,13.831719833923223,35.56646196836434,1026.5268547802955
159,318,17.2668602603254,36.609527702640584,1026.5448180260555,13.691507495378744,35.54676535676492,1026.5415439695867
160,320,17.240859322636577,36.60519847352971,1026.5478854573166,13.551295156834266,35.52706874516551,1026.556233158878
161,322,17.214858384947753,36.60086924441884,1026.5509528885777,13.411082818289787,35.50737213356609,1026.5709223481695
162,324,17.18885744725893,36.596540015307966,1026.554020319839,13.270870479745309,35.48767552196668,1026.5856115374606
163,326,17.161957233173553,36.59203540494245,1026.5571299409703,13.148405269763524,35.47093470941001,1026.5979814788325
164,328,17.134157742691624,36.58735541332229,1026.5602817519718,13.043687188344435,35.45714969589608,1026.6080321722845
165,330,17.106358252209695,36.58267542170214,1026.5634335629734,12.938969106925345,35.44336468238215,1026.6180828657366
166,332,17.078558761727766,36.577995430081984,1026.566585373975,12.834251025506257,35.42957966886823,1026.6281335591887
167,334,17.050759271245838,36.57331543846183,1026.5697371849765,12.729532944087167,35.4157946553543,1026.6381842526407
168,336,17.02295978076391,36.568635446841675,1026.5728889959778,12.624814862668078,35.40200964184037,1026.648234946093
169,338,16.99516029028198,36.563955455221524,1026.5760408069793,12.520096781248988,35.38822462832644,1026.658285639545
170,340,16.96736079980005,36.55927546360137,1026.5791926179809,12.4153786998299,35.374439614812516,1026.6683363329971
171,342,16.939561309318123,36.554595471981216,1026.5823444289824,12.31066061841081,35.36065460129859,1026.6783870264492
172,344,16.911761818836194,36.54991548036106,1026.585496239984,12.20594253699172,35.34686958778466,1026.6884377199012
173,346,16.883962328354265,36.54523548874091,1026.5886480509853,12.10122445557263,35.333084574270735,1026.6984884133535
174,348,16.856162837872336,36.54055549712075,1026.5917998619868,11.99650637415354,35.319299560756804,1026.7085391068056
175,350,16.828363347390408,36.5358755055006,1026.5949516729884,11.891788292734452,35.30551454724288,1026.7185898002576
176,352,16.79854716315037,36.530746808531326,1026.5981463776445,11.81114396946599,35.29562042328524,1026.7259118845145
177,354,16.768730978910334,36.52561811156206,1026.6013410823007,11.73049964619753,35.285726299327614,1026.7332339687714
178,356,16.738914794670297,36.52048941459279,1026.6045357869566,11.649855322929067,35.27583217536998,1026.7405560530285
179,358,16.70909861043026,36.515360717623516,1026.6077304916128,11.569210999660607,35.26593805141234,1026.7478781372854
180,360,16.67928242619022,36.51023202065425,1026.610925196269,11.488566676392145,35.25604392745471,1026.7552002215423
181,362,16.649466241950183,36.50510332368498,1026.614119900925,11.407922353123682,35.246149803497076,1026.7625223057992
182,364,16.619650057710146,36.49997462671571,1026.6173146055812,11.327278029855222,35.23625567953944,1026.7698443900563
183,366,16.58983387347011,36.49484592974644,1026.6205093102371,11.24663370658676,35.22636155558181,1026.7771664743132
184,368,16.560017689230072,36.48971723277717,1026.6237040148933,11.1659893833183,35.216467431624174,1026.78448855857
185,370,16.530201504990035,36.4845885358079,1026.6268987195494,11.085345060049837,35.20657330766654,1026.791810642827
186,372,16.50038532075,36.47945983883863,1026.6300934242056,11.004700736781375,35.19667918370891,1026.799132727084
187,374,16.470569136509962,36.47433114186936,1026.6332881288618,10.924056413512915,35.18678505975127,1026.806454811341
188,376,16.439666544238992,36.469040141944625,1026.6365581328512,10.850339112642988,35.178000882287876,1026.813021855077
189,378,16.407677543937094,36.463586839064426,1026.6399034361743,10.783548834171595,35.170326651318724,1026.8188338582927
190,380,16.375688543635196,36.45813353618422,1026.6432487394973,10.716758555700203,35.16265242034957,1026.8246458615083
191,382,16.343699543333297,36.45268023330402,1026.6465940428204,10.64996827722881,35.15497818938042,1026.830457864724
192,384,16.3117105430314,36.447226930423824,1026.6499393461434,10.583177998757417,35.14730395841127,1026.8362698679396
193,386,16.2797215427295,36.44177362754362,1026.6532846494665,10.516387720286025,35.13962972744212,1026.842081871155
194,388,16.247732542427602,36.43632032466342,1026.6566299527894,10.449597441814632,35.13195549647297,1026.8478938743706
195,390,16.215743542125704,36.43086702178322,1026.6599752561126,10.382807163343239,35.12428126550382,1026.8537058775862
196,392,16.183754541823806,36.425413718903016,1026.6633205594355,10.316016884871846,35.11660703453467,1026.8595178808018
197,394,16.151765541521907,36.41996041602282,1026.6666658627587,10.249226606400455,35.108932803565516,1026.8653298840175
198,396,16.11977654122001,36.41450711314262,1026.6700111660816,10.182436327929063,35.101258572596365,1026.8711418872329
199,398,16.08778754091811,36.409053810262414,1026.6733564694048,10.11564604945767,35.09358434162721,1026.8769538904485
200,400,16.055798540616212,36.403600507382215,1026.6767017727277,10.048855770986277,35.08591011065806,1026.882765893664
201,402,16.021737961873193,36.39788458329307,1026.6801955629223,9.993628499865007,35.07975584968153,1026.8872650579867
202,404,15.987677383130173,36.39216865920392,1026.6836893531172,9.938401228743738,35.073601588705,1026.8917642223093
203,406,15.953616804387153,36.38645273511477,1026.6871831433118,9.88317395762247,35.06744732772847,1026.896263386632
204,408,15.919556225644135,36.38073681102562,1026.6906769335067,9.8279466865012,35.061293066751944,1026.9007625509546
205,410,15.885495646901115,36.375020886936476,1026.6941707237013,9.77271941537993,35.055138805775414,1026.9052617152772
206,412,15.851435068158095,36.36930496284733,1026.697664513896,9.71749214425866,35.048984544798884,1026.9097608795998
207,414,15.817374489415075,36.36358903875818,1026.7011583040908,9.66226487313739,35.04283028382235,1026.9142600439222
208,416,15.783313910672055,36.35787311466903,1026.7046520942854,9.607037602016122,35.03667602284582,1026.9187592082449
209,418,15.749253331929035,36.35215719057988,1026.7081458844802,9.551810330894853,35.03052176186929,1026.9232583725675
210,420,15.715192753186017,36.346441266490736,1026.7116396746749,9.496583059773583,35.02436750089276,1026.92775753689
211,422,15.681132174442997,36.34072534240159,1026.7151334648695,9.441355788652313,35.01821323991623,1026.9322567012127
212,424,15.647071595699977,36.33500941831244,1026.7186272550643,9.386128517531043,35.0120589789397,1026.9367558655354
213,426,15.612360926666419,36.32923842780214,1026.7221535892559,9.33592077437551,35.0065774385592,1026.940778726033
214,428,15.577000167342321,36.32341237087069,1026.7257124674445,9.29073255918571,35.00176861877472,1026.9443252827057
215,430,15.541639408018224,36.31758631393924,1026.7292713456332,9.245544343995912,34.99695979899025,1026.9478718393782
216,432,15.506278648694126,36.31176025700779,1026.7328302238216,9.200356128806112,34.992150979205775,1026.951418396051
